MaterialID,CodigoMaterial,DescripcionMaterial,UnidadMedida,CostoUnitarioEstandar
1,MAT-101,TUBO PVC SAP 2 PULGADAS X 3M,UND,24.5
2,MAT-102,CABLE ELECTRICO UNIPOLAR 4MM2,MTR,4.8
3,MAT-103,CEMENTO PORTLAND TIPO I 42.5KG,BOL,28.0
4,MAT-104,MEDIDOR DE AGUA MONOFASICO 1/2,UND,115.0
5,MAT-105,CAJA DE REVISION DE CONCRETO 30X30,UND,45.0
6,MAT-106,INTERRUPTOR THERMOMAGNETICO 2X20A,UND,32.5
7,MAT-107,VALVULA DE BRONCE DE 1/2 PULGADA,UND,18.9
8,MAT-108,POSTE DE CONCRETO 8M / 200KG,UND,420.0
9,MAT-109,ABRAZADERA DE ACERO GALVANIZADO 2,UND,6.2
10,MAT-110,CONDUCTOR CONCENTRICO 2X6MM2,MTR,8.5
11,MAT-111,ARENA GRUESA SELECCIONADA,M3,65.0
12,MAT-112,PIEDRA CHANCADA 1/2 PULGADA,M3,72.0
13,MAT-113,TABLERO DE DISTRIBUCION 8 POLOS,UND,85.0
14,MAT-114,CODO PVC SAP 2 X 90 GRADOS,UND,3.4
15,MAT-115,VARILLA DE PUESTA A TIERRA COPERWELD,UND,95.0
