ProveedorID,CodigoProveedor,NombreProveedor,TipoServicio,Estado
1,PRV-001,CONTRATA GENERAL LIMA S.A.C.,Obras Civiles,1
2,PRV-002,PROVEEDORA ELECTRICA DEL PERU,Conexiones,1
3,PRV-003,DISTRIBUIDORA TUBERIAS SUR,Saneamiento,1
4,PRV-004,SERVICIOS Y CONTRATAS PACIFICO,Mantenimiento,1
5,PRV-005,LOGISTICA & MATERIALES CONEXAS,Conexiones,1
6,PRV-006,CONSTRUCTORA SAN MARTIN,Obras Civiles,1
7,PRV-007,SOLUCIONES HIDRAULICAS S.A.,Saneamiento,1
8,PRV-008,INVERSIONES Y SUMINISTROS NORTE,Mantenimiento,1
9,PRV-009,ELECTRO REDES PERU E.I.R.L.,Conexiones,1
10,PRV-010,GLOBAL INFRAESTRUCTURA Y OBRAS,Obras Civiles,1
