ProyectoID,CodigoProyecto,NombreProyecto,Seccion,Ubicacion
1,PRY-MAG-01,RESIDENCIAL MAGNOLIAS PHASE I,Conexiones,Lima Norte
2,PRY-LCE-02,CONDOMINIO LAS CERAZAS,Obras Civiles,Lima Sur
3,PRY-SUR-03,HABILITACION URBANA EL SOL,Conexiones,Lima Este
4,PRY-VAL-04,VALLE VERDE SECTOR 2,Saneamiento,Lima Norte
5,PRY-MNT-05,MANTENIMIENTO REDES ELECTRICAS A1,Mantenimiento,Callao
6,PRY-ALP-06,ALAMEDA ALAMEDAS DE LURIN,Conexiones,Lima Sur
7,PRY-PAR-07,PARQUE RESIDENCIAL CARABAYLLO,Obras Civiles,Lima Norte
8,PRY-CEN-08,MEJORAMIENTO CONEXIONES CENTRO,Conexiones,Lima Centro
9,PRY-SJU-09,TORRES DE SAN JUAN,Obras Civiles,Lima Este
10,PRY-CHOR-10,EXTENSION RED SANEAMIENTO CHORRILLOS,Saneamiento,Lima Sur
