DespachoID,FechaDespacho,MaterialID,ProveedorID,ProyectoID,CantidadDespachada
1,2026-01-01,5,5,4,230
2,2026-01-07,11,4,7,178
3,2026-01-08,2,5,3,307
4,2026-01-09,13,6,7,147
5,2026-01-09,14,6,2,273
6,2026-01-10,14,8,4,112
7,2026-01-11,15,6,4,359
8,2026-01-15,10,9,1,392
9,2026-01-17,6,1,10,293
10,2026-01-17,4,10,6,118
11,2026-01-17,7,7,10,249
12,2026-01-18,13,9,3,75
13,2026-01-18,11,6,10,170
14,2026-01-18,11,4,7,71
15,2026-01-19,1,8,10,298
16,2026-01-20,8,9,2,35
17,2026-01-25,2,7,6,226
18,2026-01-26,2,9,4,269
19,2026-01-28,12,9,3,149
20,2026-01-29,2,3,9,28
21,2026-01-29,3,3,7,315
22,2026-01-30,11,9,5,403
23,2026-02-01,15,7,2,292
24,2026-02-02,1,5,6,470
25,2026-02-03,12,10,10,252
26,2026-02-09,4,6,2,57
27,2026-02-09,15,4,3,419
28,2026-02-10,12,7,6,152
29,2026-02-10,13,2,7,456
30,2026-02-10,8,1,5,266
31,2026-02-13,11,2,5,273
32,2026-02-15,9,2,5,440
33,2026-02-15,15,7,1,101
34,2026-02-19,4,9,8,81
35,2026-02-19,12,2,1,348
36,2026-02-24,14,7,1,94
37,2026-02-25,4,9,10,23
38,2026-02-27,3,2,9,54
39,2026-02-28,13,5,2,447
40,2026-02-28,10,4,1,46
41,2026-03-01,14,2,7,152
42,2026-03-02,3,7,8,256
43,2026-03-02,5,8,4,286
44,2026-03-04,6,5,3,234
45,2026-03-04,13,8,7,107
46,2026-03-05,11,2,6,409
47,2026-03-06,15,1,2,334
48,2026-03-07,1,7,1,276
49,2026-03-09,3,4,9,285
50,2026-03-09,3,6,2,460
51,2026-03-09,13,1,8,284
52,2026-03-09,1,2,10,232
53,2026-03-09,12,10,7,469
54,2026-03-13,14,2,5,189
55,2026-03-14,10,4,6,114
56,2026-03-17,14,10,6,305
57,2026-03-20,4,1,4,459
58,2026-03-21,11,7,6,216
59,2026-03-22,4,5,7,77
60,2026-03-22,1,1,10,254
61,2026-03-27,13,3,5,92
62,2026-03-27,13,7,4,146
63,2026-03-30,12,6,7,320
64,2026-04-01,4,5,2,321
65,2026-04-05,10,9,3,230
66,2026-04-06,13,3,9,498
67,2026-04-08,2,6,6,319
68,2026-04-08,1,7,5,484
69,2026-04-14,12,6,2,137
70,2026-04-16,8,1,2,41
71,2026-04-18,11,7,3,325
72,2026-04-19,3,5,8,137
73,2026-04-19,14,5,1,11
74,2026-04-24,9,7,9,14
75,2026-04-24,11,4,9,252
76,2026-04-25,10,5,1,398
77,2026-04-27,11,6,3,199
78,2026-04-27,5,7,9,348
79,2026-04-28,6,5,4,124
80,2026-04-29,7,5,9,122
81,2026-05-05,3,4,5,121
82,2026-05-06,1,2,6,459
83,2026-05-09,15,9,3,39
84,2026-05-11,8,2,1,450
85,2026-05-11,2,3,2,314
86,2026-05-11,2,7,10,107
87,2026-05-13,8,2,4,125
88,2026-05-14,6,5,4,352
89,2026-05-16,15,1,10,175
90,2026-05-16,5,9,1,358
91,2026-05-16,14,10,7,118
92,2026-05-18,11,4,6,230
93,2026-05-19,13,4,5,214
94,2026-05-20,12,5,10,423
95,2026-05-24,15,7,10,393
96,2026-05-24,4,9,7,122
97,2026-05-26,2,2,8,427
98,2026-05-26,4,10,10,30
99,2026-05-26,5,7,9,436
100,2026-05-29,10,6,8,236
101,2026-05-30,7,6,4,80
102,2026-06-01,7,1,1,57
103,2026-06-08,2,7,10,299
104,2026-06-11,1,4,2,473
105,2026-06-12,3,9,4,93
106,2026-06-13,2,1,5,135
107,2026-06-13,9,10,4,88
108,2026-06-14,6,2,5,232
109,2026-06-14,9,7,9,179
110,2026-06-16,9,1,2,484
111,2026-06-17,9,1,9,163
112,2026-06-17,8,7,8,83
113,2026-06-18,8,9,3,145
114,2026-06-19,2,3,5,69
115,2026-06-19,14,2,5,269
116,2026-06-21,11,5,8,171
117,2026-06-21,11,6,8,470
118,2026-06-25,11,5,9,260
119,2026-06-25,6,1,4,430
120,2026-06-28,5,9,3,108
