PrevisionID,FechaInicioSemana,MaterialID,ProveedorID,ProyectoID,MontoPresupuestadoPDI,CantidadProyectada
1,2026-01-05,5,5,4,55695.62,460
2,2026-01-05,3,6,7,13979.14,274
3,2026-01-05,7,5,8,22497.08,312
4,2026-01-12,1,6,3,10602.31,288
5,2026-01-12,1,10,8,74288.62,534
6,2026-01-12,4,8,10,7189.23,94
7,2026-01-12,14,6,2,25733.32,546
8,2026-01-12,11,4,5,13177.26,101
9,2026-01-19,4,10,6,24525.76,237
10,2026-01-19,1,8,10,89085.92,596
11,2026-01-19,9,4,9,9568.56,291
12,2026-01-19,10,2,4,13502.97,433
13,2026-01-19,8,9,2,7315.81,71
14,2026-01-19,4,4,9,4266.1,47
15,2026-01-19,13,5,6,37305.51,541
16,2026-01-26,15,6,5,6047.27,265
17,2026-01-26,8,3,8,83529.77,563
18,2026-01-26,12,5,9,35290.26,336
19,2026-01-26,12,9,3,15805.05,298
20,2026-01-26,7,5,8,14524.61,393
21,2026-01-26,11,9,5,11061.91,368
22,2026-02-02,11,1,2,20267.32,455
23,2026-02-02,4,6,2,7557.08,114
24,2026-02-09,5,9,10,65770.61,453
25,2026-02-16,9,8,3,5650.98,106
26,2026-02-16,2,2,7,27573.95,382
27,2026-02-16,1,10,9,9510.09,82
28,2026-02-16,12,6,4,24136.76,290
29,2026-02-23,2,6,1,27040.44,587
30,2026-02-23,4,8,6,41756.44,332
31,2026-02-23,1,2,1,6121.16,254
32,2026-02-23,4,1,4,25386.98,428
33,2026-02-23,3,8,7,43981.35,296
34,2026-02-23,14,5,9,51399.3,516
35,2026-03-02,1,2,10,28613.84,464
36,2026-03-02,4,6,4,19913.45,291
37,2026-03-02,13,1,3,27542.09,452
38,2026-03-02,8,2,5,13437.2,260
39,2026-03-02,15,1,2,57513.78,453
40,2026-03-09,14,10,6,23785.31,216
41,2026-03-16,7,5,9,6134.76,150
42,2026-03-16,15,9,2,5693.3,161
43,2026-03-16,13,2,4,8786.49,216
44,2026-03-23,15,1,6,25163.57,235
45,2026-03-23,4,5,2,16986.23,195
46,2026-03-23,14,6,10,35949.07,290
47,2026-03-23,15,2,4,21282.37,398
48,2026-03-30,12,3,4,6035.61,85
49,2026-03-30,6,4,3,44158.93,541
50,2026-03-30,15,8,3,9850.38,291
51,2026-04-06,3,8,1,42253.21,289
52,2026-04-06,11,10,10,32029.01,555
53,2026-04-06,10,2,7,39132.42,410
54,2026-04-13,3,7,3,23623.71,305
55,2026-04-13,14,1,2,5687.02,82
56,2026-04-13,9,7,9,872.99,29
57,2026-04-13,9,5,9,3311.99,31
58,2026-04-13,14,9,5,9007.48,561
59,2026-04-20,8,4,7,2978.08,80
60,2026-04-27,3,1,9,13252.99,102
61,2026-04-27,10,4,3,47411.46,402
62,2026-05-04,8,3,8,23995.61,480
63,2026-05-04,14,1,2,9812.42,262
64,2026-05-04,13,9,1,28417.58,351
65,2026-05-04,6,1,2,11223.61,287
66,2026-05-04,5,2,3,8869.03,290
67,2026-05-04,13,4,5,63919.73,428
68,2026-05-04,13,3,3,72269.23,506
69,2026-05-11,4,10,10,5916.99,60
70,2026-05-11,10,8,4,62502.1,504
71,2026-05-11,9,3,7,3097.03,150
72,2026-05-11,4,5,1,7096.4,466
73,2026-05-11,2,2,8,13232.51,90
74,2026-05-18,6,8,10,38918.96,536
75,2026-05-18,11,6,8,35254.42,472
76,2026-05-25,2,1,5,12186.03,270
77,2026-05-25,10,4,7,36269.35,526
78,2026-05-25,12,9,4,45332.32,352
79,2026-05-25,6,8,9,15103.74,482
80,2026-06-01,7,3,10,22901.01,328
81,2026-06-01,11,10,6,14431.02,115
82,2026-06-01,11,5,8,48163.19,343
83,2026-06-01,2,6,9,63860.05,436
84,2026-06-01,15,6,10,35654.04,341
85,2026-06-01,8,4,9,17461.15,155
86,2026-06-08,11,9,7,18532.59,245
87,2026-06-08,15,3,9,7149.54,56
88,2026-06-15,2,9,2,8719.38,452
89,2026-06-15,13,9,8,7233.25,178
90,2026-06-15,9,9,5,62382.39,458
91,2026-06-15,3,4,3,26932.23,201
92,2026-06-15,8,9,2,10434.68,407
93,2026-06-22,3,9,2,41803.24,325
94,2026-06-22,1,4,1,23720.94,343
95,2026-06-22,4,5,4,7781.09,223
96,2026-06-22,1,2,3,22313.32,183
97,2026-06-29,12,2,7,7723.7,59
98,2026-06-29,6,7,10,16622.41,543
99,2026-06-29,12,9,8,6407.73,71
100,2026-06-29,9,4,6,11269.82,461
