StockID,FechaCorte,MaterialID,StockDisponible,StockSeguridad
1,2026-01-01,12,294,53
2,2026-01-02,13,241,40
3,2026-01-03,11,293,34
4,2026-01-09,13,250,60
5,2026-01-13,11,81,89
6,2026-01-13,14,97,34
7,2026-01-14,11,48,32
8,2026-01-15,4,117,92
9,2026-01-15,9,110,30
10,2026-01-17,7,358,68
11,2026-01-18,10,133,28
12,2026-01-19,9,177,50
13,2026-01-19,9,291,47
14,2026-01-22,12,102,82
15,2026-01-24,4,292,49
16,2026-01-24,15,120,50
17,2026-01-25,6,358,64
18,2026-01-30,15,301,33
19,2026-02-03,12,373,93
20,2026-02-05,4,351,91
21,2026-02-05,9,114,83
22,2026-02-09,6,301,40
23,2026-02-11,8,191,68
24,2026-02-15,9,170,33
25,2026-02-18,5,61,47
26,2026-02-18,2,237,32
27,2026-02-24,15,176,89
28,2026-02-26,1,44,29
29,2026-02-26,8,222,95
30,2026-02-27,2,58,63
31,2026-02-28,2,178,24
32,2026-03-01,14,211,32
33,2026-03-04,4,74,37
34,2026-03-04,6,121,56
35,2026-03-05,4,303,44
36,2026-03-09,12,298,94
37,2026-03-09,13,245,25
38,2026-03-09,7,174,36
39,2026-03-09,3,84,64
40,2026-03-09,9,298,97
41,2026-03-10,13,105,63
42,2026-03-10,2,322,47
43,2026-03-13,8,74,51
44,2026-03-13,8,134,66
45,2026-03-17,7,257,40
46,2026-03-21,7,276,67
47,2026-03-22,1,310,26
48,2026-03-22,4,270,83
49,2026-03-24,8,64,22
50,2026-03-28,2,210,31
51,2026-03-29,5,134,39
52,2026-04-01,7,296,72
53,2026-04-03,15,166,59
54,2026-04-05,6,167,46
55,2026-04-08,1,189,69
56,2026-04-13,15,96,27
57,2026-04-14,12,103,63
58,2026-04-14,2,203,92
59,2026-04-15,8,175,81
60,2026-04-18,11,368,94
61,2026-04-23,14,228,89
62,2026-04-24,13,125,90
63,2026-04-25,3,152,74
64,2026-04-27,5,343,74
65,2026-04-28,6,18,29
66,2026-04-28,10,128,92
67,2026-04-30,9,320,52
68,2026-05-02,4,273,80
69,2026-05-03,9,152,87
70,2026-05-13,8,146,35
71,2026-05-14,6,142,53
72,2026-05-16,15,311,20
73,2026-05-17,13,86,36
74,2026-05-18,2,93,68
75,2026-05-22,5,270,100
76,2026-05-28,4,36,28
77,2026-05-29,12,105,89
78,2026-05-29,10,51,25
79,2026-05-30,7,163,66
80,2026-05-31,9,335,49
81,2026-06-01,7,24,24
82,2026-06-04,1,177,91
83,2026-06-06,13,76,87
84,2026-06-10,3,364,74
85,2026-06-12,3,198,88
86,2026-06-13,2,148,23
87,2026-06-13,9,183,97
88,2026-06-13,12,188,91
89,2026-06-14,8,158,38
90,2026-06-16,12,288,89
91,2026-06-18,8,159,90
92,2026-06-19,4,82,57
93,2026-06-19,12,146,82
94,2026-06-19,2,157,37
95,2026-06-20,14,228,90
96,2026-06-21,8,308,47
97,2026-06-21,12,167,60
98,2026-06-23,12,118,89
99,2026-06-25,6,129,27
100,2026-06-29,15,325,29
