FECHA_CORTE,COD_PROVEEDOR,COD_MATERIAL,COD_PROYECTO,STOCK_REAL_DISPONIBLE,MONTO_EJECUTADO_SLES,ESTADO_LIQUIDACION
2026-01-06,PRV-010,MAT-103,PRY-VAL-04,268,73666.35,Liquidado
2026-01-07,PRV-001,MAT-104,PRY-CEN-08,1261,128211.97,Liquidado
2026-01-08,PRV-002,MAT-115,PRY-MNT-05,375,89185.51,Pendiente
2026-01-10,PRV-002,MAT-110,PRY-PAR-07,717,110639.03,Pendiente
2026-01-12,PRV-008,MAT-109,PRY-LCE-02,785,16426.03,Pendiente
2026-01-12,PRV-004,MAT-113,PRY-MNT-05,173,129021.07,Liquidado
2026-01-12,PRV-001,MAT-106,PRY-SUR-03,1314,147070.7,Liquidado
2026-01-15,PRV-009,MAT-102,PRY-SUR-03,150,91280.09,Liquidado
2026-01-16,PRV-003,MAT-107,PRY-MAG-01,809,43454.44,Pendiente
2026-01-16,PRV-007,MAT-112,PRY-ALP-06,233,41055.17,Liquidado
2026-01-18,PRV-001,MAT-114,PRY-ALP-06,155,79552.64,Pendiente
2026-01-18,PRV-004,MAT-106,PRY-MNT-05,333,68536.76,Pendiente
2026-01-18,PRV-009,MAT-113,PRY-SUR-03,272,100663.87,Liquidado
2026-01-19,PRV-009,MAT-104,PRY-SJU-09,553,24206.2,Pendiente
2026-01-20,PRV-008,MAT-113,PRY-SJU-09,210,12335.31,Liquidado
2026-01-24,PRV-004,MAT-111,PRY-MNT-05,470,121951.62,Liquidado
2026-01-24,PRV-004,MAT-103,PRY-PAR-07,1004,74796.97,Pendiente
2026-01-27,PRV-002,MAT-107,PRY-LCE-02,745,127886.68,Pendiente
2026-01-29,PRV-003,MAT-111,PRY-SUR-03,1403,66213.2,Liquidado
2026-01-29,PRV-005,MAT-107,PRY-SUR-03,939,5470.57,Pendiente
2026-01-31,PRV-004,MAT-104,PRY-LCE-02,702,8049.97,Liquidado
2026-02-01,PRV-008,MAT-103,PRY-CEN-08,1377,82014.12,Pendiente
2026-02-04,PRV-005,MAT-102,PRY-LCE-02,1143,27539.95,Pendiente
2026-02-09,PRV-006,MAT-113,PRY-SUR-03,1114,143257.46,Liquidado
2026-02-10,PRV-008,MAT-108,PRY-MNT-05,516,126780.12,Pendiente
2026-02-11,PRV-005,MAT-102,PRY-CHOR-10,62,139688.64,Pendiente
2026-02-11,PRV-008,MAT-107,PRY-MNT-05,1320,104783.48,Liquidado
2026-02-18,PRV-005,MAT-104,PRY-MAG-01,1196,111681.89,Liquidado
2026-02-22,PRV-006,MAT-104,PRY-MNT-05,820,23977.35,Pendiente
2026-02-24,PRV-008,MAT-107,PRY-CEN-08,302,43407.62,Liquidado
2026-02-25,PRV-004,MAT-109,PRY-CHOR-10,64,86380.53,Pendiente
2026-02-26,PRV-004,MAT-114,PRY-CEN-08,726,49252.68,Liquidado
2026-02-26,PRV-008,MAT-110,PRY-MNT-05,23,115027.07,Liquidado
2026-02-27,PRV-002,MAT-113,PRY-MAG-01,73,142693.7,Liquidado
2026-02-27,PRV-001,MAT-111,PRY-VAL-04,826,52597.98,Liquidado
2026-03-01,PRV-007,MAT-112,PRY-SUR-03,1456,36023.17,Pendiente
2026-03-02,PRV-005,MAT-106,PRY-ALP-06,1116,16683.76,Liquidado
2026-03-03,PRV-001,MAT-104,PRY-CHOR-10,171,17419.75,Pendiente
2026-03-04,PRV-008,MAT-113,PRY-PAR-07,399,18677.24,Pendiente
2026-03-06,PRV-002,MAT-108,PRY-MAG-01,1114,12552.41,Pendiente
2026-03-07,PRV-001,MAT-112,PRY-PAR-07,13,80388.45,Liquidado
2026-03-09,PRV-009,MAT-114,PRY-CHOR-10,876,144832.62,Liquidado
2026-03-10,PRV-003,MAT-113,PRY-LCE-02,793,131464.18,Pendiente
2026-03-13,PRV-006,MAT-111,PRY-SJU-09,828,103530.13,Pendiente
2026-03-15,PRV-007,MAT-112,PRY-SJU-09,1365,109169.2,Liquidado
2026-03-15,PRV-004,MAT-107,PRY-CHOR-10,1252,99932.32,Pendiente
2026-03-18,PRV-009,MAT-105,PRY-PAR-07,678,63348.06,Pendiente
2026-03-21,PRV-007,MAT-111,PRY-ALP-06,907,135444.04,Pendiente
2026-03-22,PRV-001,MAT-101,PRY-CHOR-10,986,77913.31,Liquidado
2026-03-25,PRV-006,MAT-113,PRY-PAR-07,579,114041.42,Pendiente
2026-04-01,PRV-005,MAT-113,PRY-PAR-07,868,83041.98,Liquidado
